指数代码,指数名称,发布日期,收盘指数,成交量,涨跌幅,换手率,市盈率,市净率,均价,成交额占比,流通市值,平均流通市值,股息率
801995,电视广播Ⅱ,2026-08-10,1014.91,3.67,1.61,3.19,64.69,1.11,9.89,0.11,650.61,46.47,1.29
801086,电子化学品Ⅱ,2026-08-10,12471.71,11.71,1.13,11.31,105.76,6.9,60.75,2.39,4441.28,126.89,0.32
801092,汽车服务,2026-08-10,448.44,1.2,0.91,2.82,41.15,1.73,6.75,0.04,234.72,26.08,0.73
801093,汽车零部件,2026-08-10,7337.8,28.5,1.54,3.56,25.54,2.35,22.23,2.05,11797.05,48.75,1.29
801095,乘用车,2026-08-10,14535.12,3.61,0.8,2.06,25.58,1.67,24.44,0.32,3654.5,456.81,0.92
801096,商用车,2026-08-10,7026.56,3.5,1.27,2.72,23.05,2.54,11.6,0.18,1338.68,102.98,2.9
801101,计算机设备,2026-08-10,2967.49,11.99,-0.63,4.22,40.15,3.7,27.41,1.42,6647.59,81.07,1.25
801102,通信设备,2026-08-10,9141.59,26.76,-3.67,8.15,66.43,9.26,73.25,9.1,23632.57,278.03,0.31
801103,IT服务Ⅱ,2026-08-10,4931.58,28.71,-0.31,4.86,116.89,3.46,22.82,2.13,8034.22,65.85,0.28
801104,软件开发,2026-08-10,6016.66,23.5,0.06,4.92,89.72,4.44,31.98,2.36,9407.98,72.37,0.46
801111,白色家电,2026-08-10,19554.64,1.8,1.82,1.13,11.77,2.13,20.34,0.28,6708.73,609.88,5.03
801112,黑色家电,2026-08-10,1910.48,2.09,1.17,2.72,29.11,2.06,20.12,0.1,776.1,86.23,1.43
801113,小家电,2026-08-10,4097.21,1.23,2.19,3.33,23.75,2.48,25.45,0.11,686.11,34.31,1.53
801114,厨卫电器,2026-08-10,7893.82,0.71,2.29,3.23,21.16,1.5,10.81,0.04,204.22,22.69,3.53
801115,照明设备Ⅱ,2026-08-10,4371.98,0.99,0.06,2.53,52.79,1.94,23.44,0.07,264.13,22.01,1.5
801116,家电零部件Ⅱ,2026-08-10,6558.37,3.21,-0.53,3.5,38.49,3.49,19.23,0.28,1620.01,55.86,0.93
801117,其他家电Ⅱ,2026-08-10,540.12,0.29,2.49,2.64,43.88,1.24,9.1,0.01,61.87,20.62,1.43
801124,食品加工,2026-08-10,12723.94,4.29,1.86,5.03,25.45,2.06,15.52,0.17,975.57,39.02,3.14
801125,白酒Ⅱ,2026-08-10,37941.82,3.14,2.7,3.77,20.36,3.78,107.99,0.95,10152.86,534.36,4.03
801126,非白酒,2026-08-10,3494.7,1.33,1.35,2.56,23.87,2.52,14.61,0.09,703.69,43.98,2.6
801127,饮料乳品,2026-08-10,7186.42,4.97,2.11,3.83,17.97,2.96,18.79,0.4,2613.77,100.53,3.95
801128,休闲食品,2026-08-10,1671.19,1.83,2.68,4.4,18.47,1.97,16.08,0.11,512.74,23.31,2.59
801129,调味发酵品Ⅱ,2026-08-10,7071.84,4.72,2.92,6.07,29.01,3.61,16.86,0.29,1384.11,98.87,2.36
801131,纺织制造,2026-08-10,1762.91,4.44,2.21,4.54,23.24,1.65,13.24,0.22,767.04,23.97,2.42
801132,服装家纺,2026-08-10,1488.35,7.39,2.17,4.01,27.64,1.74,11.69,0.28,1294.04,21.93,2.56
801133,饰品,2026-08-10,1422.04,6.6,3.44,10.81,21.02,1.9,11.48,0.17,443.02,29.53,2.58
801141,包装印刷,2026-08-10,2756.43,6.35,1.1,4.0,37.3,2.25,11.47,0.25,1180.33,29.51,1.49
801142,家居用品,2026-08-10,1619.3,5.97,2.03,4.95,28.11,1.83,17.51,0.33,1438.45,19.7,2.2
801143,造纸,2026-08-10,2093.43,4.55,2.32,2.97,27.49,1.16,10.57,0.13,776.72,33.77,1.55
801145,文娱用品,2026-08-10,1694.29,1.6,3.01,5.26,41.61,2.96,17.22,0.1,413.43,20.67,1.12
801085,消费电子,2026-08-10,10300.06,18.49,-0.43,4.54,37.76,4.66,41.92,3.27,13221.29,145.29,0.79
801151,化学制药,2026-08-10,12252.14,41.34,0.69,6.97,41.87,3.21,24.18,3.23,10410.73,69.87,0.94
801084,光学光电子,2026-08-10,1825.99,43.72,-1.09,4.79,60.52,2.47,31.94,2.41,7882.03,84.75,0.63
801082,其他电子Ⅱ,2026-08-10,16374.53,5.91,0.28,6.59,57.55,5.44,38.27,0.83,2237.0,67.79,0.33
801011,林业Ⅱ,2026-08-10,1674.37,1.39,2.78,7.24,5218.19,5.82,11.22,0.04,135.55,33.89,0.02
801012,农产品加工,2026-08-10,2201.69,4.41,2.5,5.04,40.52,2.0,13.08,0.19,764.96,33.26,1.76
801014,饲料,2026-08-10,3603.09,4.44,2.8,3.71,47.4,2.04,13.78,0.17,1001.65,55.65,1.25
801015,渔业,2026-08-10,702.87,1.5,3.56,5.43,147.04,2.4,5.19,0.03,101.97,17.0,0.19
801016,种植业,2026-08-10,2300.46,6.15,1.41,5.78,37.09,2.17,7.68,0.17,718.29,35.91,1.21
801017,养殖业,2026-08-10,2701.62,7.13,4.19,3.04,36.5,2.42,12.24,0.39,2568.42,116.75,2.67
801018,动物保健Ⅱ,2026-08-10,4630.99,0.61,1.42,2.09,45.16,2.07,13.73,0.03,336.96,37.44,1.35
